nr,pereche,directie,intrare_jurnal,fix_ore,intrare_utc,durata_min,entry,sl,sl_pips,R_realizat,rezultat,sesiune,ind_MSS,ind_FVG,ind_lichiditate,market,strategie,setup,entry_model,nota
27,NAS100,LONG,2026-01-13 15:55,0,2026-01-13 15:55,40,25733.0,25700.0,330000.0,2.0,WIN,London,Good,Good,liqiditate locala,,Mss After Mss,liqiditate locala entry,Good,
28,NAS100,LONG,2026-01-13 18:52,0,2026-01-13 18:52,1515,25358.0,25321.0,370000.0,2.0,WIN,New York,Great,Good,"liqiditate majora, perfect liquidity",,Mss After Mss,liqiditate majora entry,Great,
29,NAS100,LONG,2026-02-05 17:47,0,2026-02-05 17:47,113,24534.02,24423.73,1102900.0,1.0,WIN,New York,Great,Good,re-liquidation,,"Mss After Mss, order block",re-liquidation entry,Great,
30,NAS100,LONG,2026-01-15 11:02,0,2026-01-15 11:02,96,25699.3,25683.6,157000.0,-1.0,LOSS,London,Great,Good,,,Mss After Mss,,Good,
31,NAS100,SHORT,2026-01-16 12:55,0,2026-01-16 12:55,36,25689.8,25702.7,129000.0,-1.0,LOSS,London,Good,Good,re-liquidation,,Mss After Mss,re-liquidation entry,Good,
32,NAS100,LONG,2026-01-21 13:54,0,2026-01-21 13:54,17291,24968.7,24949.0,197000.0,2.0,WIN,London,Good,Good,re-liquidation,,Mss After Mss,re-liquidation entry,Great,
33,EURUSD,LONG,2026-01-01 09:57,0,2026-01-01 09:57,57,1.16805,1.16761,4.4,2.0,WIN,London,Good,Good,re-liquidation,,Mss After Mss,re-liquidation entry,Good,
34,EURUSD,LONG,2026-01-05 17:21,0,2026-01-05 17:21,22,1.17171,1.17139,3.2,-1.0,LOSS,New York,Good,Good,re-liquidation,,Mss After Mss,re-liquidation entry,Good,
35,EURUSD,LONG,2026-01-05 19:00,0,2026-01-05 19:00,38,1.1723,1.17207,2.3,2.0,WIN,New York,Great,Good,re-liquidation,,Mss After Mss,re-liquidation entry,Good,
36,EURUSD,SHORT,2025-12-06 12:41,0,2025-12-06 12:41,37494,1.17046,1.17096,5.0,-1.0,LOSS,London,Good,Good,re-liquidation,,Mss After Mss,re-liquidation entry,Good,
37,EURUSD,SHORT,2026-01-06 14:24,0,2026-01-06 14:24,20,1.17047,1.17093,4.6,-1.0,LOSS,London,Good,Good,,,Mss After Mss,,Good,
38,EURUSD,SHORT,2026-01-06 15:11,0,2026-01-06 15:11,20,1.16972,1.1702,4.8,2.0,WIN,"London, Pre-NY",Great,weak fvg,re-liquidation,,Mss After Mss,re-liquidation entry,Great,
39,EURUSD,LONG,2026-01-08 14:56,0,2026-01-08 14:56,24,1.16623,1.1658,4.3,2.0,WIN,London,Great,Good,liqiditate majora,,liqiditate + mss,liqiditate majora entry,Good,
40,EURUSD,SHORT,2026-01-15 14:19,0,2026-01-15 14:19,-1420,1.16082,1.16011,7.1,-1.0,LOSS,London,Good,Good,liqiditate majora,,liqiditate + mss,liqiditate majora entry,Good,SL pe partea gresita (de verificat)
41,EURUSD,LONG,2026-01-20 11:38,0,2026-01-20 11:38,37,1.17301,1.17254,4.7,2.0,WIN,London,Great,Good,,,Mss After Mss,"fvg entry, mss entry",Great,
42,EURUSD,LONG,2026-01-20 16:56,0,2026-01-20 16:56,68,1.17365,1.17295,7.0,-1.0,LOSS,New York,Weak,Good,,,Mss After Mss,,Alright,
43,EURUSD,LONG,2026-01-21 13:54,0,2026-01-21 13:54,10,1.17392,1.17342,5.0,-1.0,LOSS,London,Good,Good,liqiditate locala,,Mss After Mss,mss entry,Good,
44,EURUSD,LONG,2026-01-21 13:14,0,2026-01-21 13:14,-46,1.17197,1.17173,2.4,2.0,WIN,London,Great,Good,re-liquidation,Trending,Mss After Mss,re-liquidation entry,Great,
45,EURUSD,SHORT,2026-01-22 16:30,0,2026-01-22 16:30,38,1.17448,1.17509,6.1,2.0,WIN,New York,Great,Good,liqiditate locala,,liqiditate + mss,liqiditate locala entry,Great,
46,EURUSD,LONG,2026-01-23 16:22,0,2026-01-23 16:22,24,1.17565,1.1751,5.5,2.0,WIN,New York,Great,Good,Continuation to liquidity,,Mss After Mss,Mss before liquidity entry,Great,
47,EURUSD,SHORT,2026-01-23 18:11,0,2026-01-23 18:11,16,1.17827,1.17932,10.5,-1.0,LOSS,New York,Great,Good,liqiditate majora,,liqiditate + mss,re-liquidation entry,Good,
48,EURUSD,SHORT,2026-01-30 19:53,0,2026-01-30 19:53,26,1.18704,1.18765,6.1,2.0,WIN,New York,Great,Good,Continuation to liquidity,,Mss After Mss,Mss before liquidity entry,Great,
49,EURUSD,SHORT,2026-02-02 14:50,0,2026-02-02 14:50,10,1.18224,1.18173,5.1,-1.0,LOSS,London,Good,Good,liqiditate majora,,liqiditate + mss,"liqiditate majora entry, mss entry",Good,SL pe partea gresita (de verificat)
50,EURUSD,LONG,2026-02-09 10:03,0,2026-02-09 10:03,232,1.18577,1.18514,6.3,2.0,WIN,London,Great,Good,,,Mss After Mss,"fvg entry, mss entry",Great,
51,GBPUSD,LONG,2026-02-09 12:45,-2,2026-02-09 10:45,70,1.36063,1.35913,15.0,2.0,WIN,London,Great,Good,re-liquidation,,Mss After Mss,mss entry,Great,
52,GER40,,2026-02-09 15:00,0,2026-02-09 15:00,123,24822.7,24800.9,218000.0,-1.0,LOSS,"London, New York",Great,Good,,,Mss After Mss,"fvg entry, mss entry",Great,
53,USDJPY,SHORT,2026-02-10 13:04,0,2026-02-10 13:04,148,155.187,155.328,1410.0,1.0,WIN,London,Great,Good,,,"Mss After Mss, order block","fvg entry, mss entry",Great,
54,USDJPY,LONG,2026-02-05 15:58,0,2026-02-05 15:58,18,156.616,156.444,1720.0,-1.0,LOSS,"New York, Pre-NY",Good,Good,,,Mss After Mss,"fvg entry, mss entry",Good,
55,USDJPY,SHORT,2026-01-05 17:28,0,2026-01-05 17:28,93,156.3,156.386,860.0,2.0,WIN,New York,Great,Good,,,Mss After Mss,"fvg entry, mss entry",Good,
56,USDJPY,SHORT,2026-01-06 11:49,0,2026-01-06 11:49,22,156.454,156.523,690.0,2.0,WIN,,Great,Good,,,Mss After Mss,fvg entry,Great,
57,USDJPY,LONG,2026-01-06 14:47,0,2026-01-06 14:47,15,156.358,156.302,560.0,2.0,WIN,London,Great,Good,,,Mss After Mss,"fvg entry, mss entry",Great,
58,GBPUSD,,2026-01-06 18:44,0,2026-01-06 18:44,38,156.73,156.689,410.0,-1.0,LOSS,New York,Great,Good,,,Mss After Mss,"fvg entry, mss entry",Great,
59,USDJPY,SHORT,2026-01-12 12:17,0,2026-01-12 12:17,52,157.852,157.906,540.0,2.0,WIN,London,Great,Good,"2+ liquidities, re-liquidation",,Mss After Mss,"fvg entry, mss entry",Great,
60,USDJPY,SHORT,2026-01-12 13:51,0,2026-01-12 13:51,5,157.765,157.831,660.0,-1.0,LOSS,London,Great,Good,,,,"fvg entry, mss entry",Good,
61,USDJPY,SHORT,2026-01-13 10:52,0,2026-01-13 10:52,26,158.858,158.903,450.0,-1.0,LOSS,London,Great,Good,liqiditate majora,,Mss After Mss,"fvg entry, mss entry",Great,
62,USDJPY,LONG,2026-01-13 17:40,0,2026-01-13 17:40,253,159.007,158.956,510.0,2.0,WIN,New York,Great,Good,,Trending,Mss After Mss,"fvg entry, mss entry",Good,
63,USDJPY,SHORT,2026-01-14 16:43,0,2026-01-14 16:43,42,158.158,158.289,1310.0,-1.0,LOSS,New York,Weak,,,,,"fvg entry, mss entry",Good,
64,USDJPY,LONG,2026-02-11 17:56,0,2026-02-11 17:56,17,1.18715,1.18528,18.7,2.0,WIN,New York,Great,Good,,,"Mss After Mss, order block","fvg entry, mss entry",Great,
65,USDJPY,LONG,2026-01-15 20:00,0,2026-01-15 20:00,40,158.523,158.479,440.0,2.0,WIN,New York,Great,Good,re-liquidation,,Mss After Mss,"fvg entry, mss entry",Great,
66,USDJPY,SHORT,2026-01-16 15:36,0,2026-01-16 15:36,16,158.074,158.109,350.0,2.0,WIN,"London, Pre-NY",Great,Good,re-liquidation,,Mss After Mss,"Mss before liquidity entry, fvg entry, m",Great,
67,USDJPY,LONG,2026-01-19 18:32,0,2026-01-19 18:32,65,158.085,158.041,440.0,-1.0,LOSS,New York,Great,weak fvg,,,,"fvg entry, mss entry",Good,
68,USDJPY,LONG,2026-01-20 11:57,0,2026-01-20 11:57,33,157.681,157.56,1210.0,2.0,WIN,London,Great,Good,"2+ liquidities, liqiditate locala, liqid",,"Mss After Mss, liqiditate + ","fvg entry, mss entry",Great,
69,USDJPY,LONG,2026-01-22 09:00,0,2026-01-22 09:00,85,158.817,158.757,600.0,-1.0,LOSS,London,Great,Good,liqiditate majora,,Mss After Mss,"fvg entry, mss entry",Good,
70,USDJPY,LONG,2026-01-26 21:38,0,2026-01-26 21:38,14,156.07,155.922,1480.0,-1.0,LOSS,New York,Great,Good,"2+ liquidities, liqiditate locala, liqid",,liqiditate + mss,"fvg entry, mss entry",Good,
71,USDJPY,LONG,2026-01-28 18:06,0,2026-01-28 18:06,27,153.414,153.232,1820.0,2.0,WIN,New York,Great,Good,,,Mss After Mss,"fvg entry, mss entry",Good,
72,USDJPY,SHORT,2026-01-30 17:46,0,2026-01-30 17:46,9,154.595,154.702,1070.0,2.0,WIN,New York,Good,Good,liquidity not taken yet,,Mss After Mss,"fvg entry, mss entry",Good,
73,USDJPY,SHORT,2026-02-02 10:29,0,2026-02-02 10:29,38,154.975,154.852,1230.0,-1.0,LOSS,London,Good,Good,,,,"fvg entry, mss entry",Good,
74,USDJPY,SHORT,2026-02-03 10:45,0,2026-02-03 10:45,17,155.484,155.561,770.0,-1.0,LOSS,London,Good,Good,,,,"fvg entry, mss entry",Good,
75,AUDUSD,SHORT,2026-01-05 12:17,0,2026-01-05 12:17,8,0.66849,0.66833,1.6,0.0,,London,Good,Good,,,,"fvg entry, mss entry",Good,
76,NAS100,LONG,2025-10-03 14:48,0,2025-10-03 14:48,138309,24922.7,24899.6,231000.0,2.0,WIN,"London, Pre-NY",Good,Good,liqiditate locala,,liqiditate + mss,"fvg entry, mss entry",Good,
77,NAS100,LONG,2025-10-06 11:32,0,2025-10-06 11:32,30,24982.6,24964.8,178000.0,2.0,WIN,London,Good,Good,Continuation to liquidity,,Mss After Mss,"fvg entry, mss entry",Good,
78,NAS100,SHORT,2025-10-07 16:58,0,2025-10-07 16:58,132492,24862.6,24883.9,213000.0,-1.0,LOSS,London,Good,,Continuation to liquidity,,Mss After Mss,"fvg entry, mss entry",Good,
79,NAS100,LONG,2025-10-08 13:13,0,2025-10-08 13:13,14,24906.4,24893.7,127000.0,2.0,WIN,London,Good,Good,,,Mss After Mss,"fvg entry, mss entry",Great,
80,NAS100,LONG,2025-10-08 17:05,0,2025-10-08 17:05,44,25088.3,25073.1,152000.0,2.0,WIN,New York,Great,,,,Mss After Mss,mss entry,Great,
81,NAS100,LONG,2025-10-10 10:45,0,2025-10-10 10:45,48,25128.7,25115.8,129000.0,2.0,WIN,London,Great,Good,,,,"fvg entry, mss entry",Great,
82,NAS100,LONG,2025-10-10 13:22,0,2025-10-10 13:22,9,25138.0,25126.4,116000.0,2.0,WIN,London,Great,Good,,,,"fvg entry, mss entry",Great,
83,NAS100,SHORT,2025-10-13 10:20,0,2025-10-13 10:20,12,24691.6,24706.1,145000.0,-1.0,LOSS,London,Great,Good,,,Mss After Mss,"fvg entry, mss entry",Good,
84,NAS100,SHORT,2025-10-14 17:40,0,2025-10-14 17:40,10,24759.5,24782.9,234000.0,-1.0,LOSS,New York,Good,Good,,,,"fvg entry, mss entry",Good,
85,NAS100,LONG,2025-10-15 10:57,0,2025-10-15 10:57,7,24824.6,24812.9,117000.0,-1.0,LOSS,London,Good,Good,,,Mss After Mss,"fvg entry, mss entry",Good,
86,NAS100,SHORT,2025-10-15 15:15,0,2025-10-15 15:15,18,24932.9,24955.6,227000.0,2.0,WIN,"London, Pre-NY",Great,Good,,,"Mss After Mss, liqiditate + ","fvg entry, mss entry",Great,
87,NAS100,SHORT,2025-10-15 16:48,0,2025-10-15 16:48,12,24781.4,24812.7,313000.0,2.0,WIN,New York,Great,Good,,,Mss After Mss,"fvg entry, mss entry",Great,
88,NAS100,LONG,2025-10-16 19:39,0,2025-10-16 19:39,13,24601.9,24564.0,379000.0,2.0,WIN,New York,Great,Good,liqiditate locala,,"Mss After Mss, liqiditate + ","fvg entry, mss entry",Great,
89,NAS100,LONG,2025-10-17 10:11,0,2025-10-17 10:11,8,24383.6,24357.5,261000.0,-1.0,LOSS,London,Great,Good,,,Mss After Mss,"fvg entry, mss entry",Good,
90,NAS100,LONG,2025-10-17 15:43,0,2025-10-17 15:43,17,24626.1,24586.5,396000.0,2.0,WIN,"New York, Pre-NY",Great,Good,,,Mss After Mss,"fvg entry, mss entry",Great,
91,NAS100,SHORT,2025-10-17 16:58,0,2025-10-17 16:58,62,24763.5,24813.7,502000.0,-1.0,LOSS,New York,Good,Good,,,Mss After Mss,"fvg entry, mss entry",Good,
92,NAS100,LONG,2025-10-22 18:14,0,2025-10-22 18:14,52,24738.5,24684.8,537000.0,2.0,WIN,New York,Great,Good,,,"Mss After Mss, liqiditate + ","fvg entry, mss entry",Great,
93,NAS100,LONG,2025-10-23 14:28,0,2025-10-23 14:28,98,25019.1,24982.6,365000.0,2.0,WIN,"London, New York, Pr",Great,Good,Continuation to liquidity,,Mss After Mss,"fvg entry, mss entry",Great,
94,NAS100,SHORT,2025-10-24 15:27,0,2025-10-24 15:27,3,25251.4,25257.5,61000.0,2.5,WIN,"London, Pre-NY",Great,Good,,,Mss After Mss,"fvg entry, mss entry",Good,
95,NAS100,LONG,2025-10-24 16:25,0,2025-10-24 16:25,5,25356.6,25340.7,159000.0,-1.0,LOSS,New York,Great,Good,,,,"fvg entry, mss entry",Good,
96,NAS100,LONG,2025-10-27 10:49,0,2025-10-27 10:49,47,25677.5,25668.2,93000.0,2.0,WIN,London,Great,Good,,,Mss After Mss,"fvg entry, mss entry",Great,
97,NAS100,SHORT,2025-10-27 15:25,0,2025-10-27 15:25,0,25708.7,25714.7,60000.0,-1.0,LOSS,"London, Pre-NY",Good,Good,,,Mss After Mss,"fvg entry, mss entry",Good,
98,NAS100,LONG,2025-10-25 12:41,0,2025-10-25 12:41,28,25867.4,25874.6,72000.0,-1.0,LOSS,London,Great,Good,,,,"fvg entry, mss entry",Good,
99,NAS100,SHORT,2025-10-29 10:42,0,2025-10-29 10:42,27,26166.6,26177.6,110000.0,2.0,WIN,London,Great,Good,,,Mss After Mss,"fvg entry, mss entry",Great,
100,NAS100,LONG,2025-10-31 12:33,0,2025-10-31 12:33,35,26065.0,26055.4,96000.0,2.0,WIN,London,Great,Good,,,Mss After Mss,"fvg entry, mss entry",Good,
101,GBPUSD,LONG,2025-01-09 10:18,0,2025-01-09 10:18,24,1.22837,1.22704,13.3,-1.0,LOSS,London,Good,Good,"2+ liquidities, liqiditate locala, liqid",,"Mss After Mss, liqiditate + ","fvg entry, mss entry",Good,
102,GBPUSD,SHORT,2025-01-10 09:00,0,2025-01-10 09:00,270,1.23133,1.23263,13.0,2.0,WIN,London,Great,Good,,,Mss After Mss,"fvg entry, mss entry",Good,
103,GBPUSD,LONG,2025-01-13 17:00,0,2025-01-13 17:00,90,1.21565,1.21455,11.0,2.0,WIN,New York,Good,Good,,,Mss After Mss,"fvg entry, mss entry",Great,
104,GBPUSD,LONG,2025-01-13 19:02,0,2025-01-13 19:02,50,1.2176,1.21674,8.6,-1.0,LOSS,New York,Great,Good,,,Mss After Mss,"fvg entry, mss entry",Good,
105,GBPUSD,SHORT,2025-01-14 02:44,0,2025-01-14 02:44,7,1.21969,1.22013,4.4,-1.0,LOSS,Tokyo,Good,Good,,,Mss After Mss,"fvg entry, mss entry",Great,
106,GBPUSD,LONG,2025-01-16 14:46,0,2025-01-16 14:46,19,1.21916,1.21844,7.2,2.0,WIN,New York,Great,Good,,,"Mss After Mss, order block","fvg entry, mss entry",Great,
107,GBPUSD,LONG,2025-01-17 07:55,-2,2025-01-17 05:55,35,1.21715,1.21604,11.1,2.0,WIN,Pre-London,Great,Good,"2+ liquidities, liqiditate majora",,liqiditate + mss,"fvg entry, mss entry",Great,
108,GBPUSD,SHORT,2025-01-23 12:53,-2,2025-01-23 10:53,79,1.23224,1.23224,0.0,2.0,WIN,London,Great,Good,good orderblock,,liqiditate + mss,"fvg entry, mss entry",Great,SL pe partea gresita (de verificat)
109,GBPUSD,SHORT,2025-01-24 19:51,-2,2025-01-24 17:51,54,1.24944,1.25006,6.2,2.0,WIN,New York,Great,Good,liqiditate majora,,"Mss After Mss, liqiditate + ","fvg entry, mss entry",Great,
110,GBPUSD,LONG,2025-01-27 11:18,-2,2025-01-27 09:18,34,1.24632,1.24546,8.6,2.0,WIN,London,Great,Good,good orderblock,,"Mss After Mss, order block","fvg entry, mss entry",Great,
111,GBPUSD,LONG,2025-01-27 20:38,-2,2025-01-27 18:38,3,1.24746,1.24616,13.0,-1.0,LOSS,New York,Great,Good,,,Mss After Mss,"fvg entry, mss entry",Good,
112,GBPUSD,LONG,2025-01-28 19:42,-2,2025-01-28 17:42,18,1.2434,1.24277,6.3,-1.0,LOSS,New York,Good,Good,liqiditate locala,,Mss After Mss,"fvg entry, mss entry",Good,
113,GBPUSD,LONG,2025-01-29 12:37,-2,2025-01-29 10:37,2,1.24202,1.24162,4.0,-1.0,LOSS,London,Good,Good,"liqiditate locala, liqiditate majora",,"liqiditate + mss, order bloc","fvg entry, mss entry",Good,
114,GBPUSD,SHORT,2025-01-29 12:45,-2,2025-01-29 10:45,11,1.24142,1.24044,9.8,-1.0,LOSS,London,Good,Good,"liqiditate locala, liqiditate majora",,Mss After Mss,"fvg entry, mss entry",Good,SL pe partea gresita (de verificat)
115,GBPUSD,LONG,2025-01-29 13:38,-2,2025-01-29 11:38,90,1.23995,1.23922,7.3,2.0,WIN,"New York, Pre-NY",Great,Good,"2+ liquidities, perfect liquidity",,liqiditate + mss,"fvg entry, liqiditate majora entry, mss ",Great,
116,GBPUSD,LONG,2025-01-29 19:47,-2,2025-01-29 17:47,14,1.24435,1.24362,7.3,-1.0,LOSS,New York,Weak,Good,,,Mss After Mss,"fvg entry, mss entry",Good,
118,GBPUSD,LONG,2026-01-07 10:00,0,2026-01-07 10:00,41,1.34936,1.34891,4.5,2.0,WIN,London,Great,Good,hod,,Mss After Mss,"fvg entry, mss entry",Great,
119,GBPUSD,LONG,2026-02-07 20:38,0,2026-02-07 20:38,3,1.3473,1.34691,3.9,-1.0,LOSS,New York,Great,Good,,,Mss After Mss,"fvg entry, mss entry",Great,
120,USDJPY,LONG,2026-02-02 17:34,0,2026-02-02 17:34,33,155.508,155.446,620.0,2.0,WIN,New York,Great,Good,,Trending,"Mss After Mss, order block","fvg entry, mss entry",Great,
121,GBPUSD,LONG,2026-02-03 12:07,-2,2026-02-03 10:07,56,,,,2.0,WIN,London,Great,Good,,,Mss After Mss,"fvg entry, mss entry",Great,
122,GBPUSD,LONG,2026-02-02 17:15,-2,2026-02-02 15:15,45,1.36591,1.36387,20.4,-1.0,LOSS,New York,Good,Good,,,Mss After Mss,"fvg entry, mss entry",Good,
123,GBPUSD,LONG,2026-02-02 19:51,-2,2026-02-02 17:51,23,1.36599,1.36441,15.8,-1.0,LOSS,New York,Good,Good,,,Mss After Mss,"fvg entry, mss entry",Good,
124,GBPUSD,LONG,2026-02-03 10:41,-2,2026-02-03 08:41,21,1.36977,1.36807,17.0,-1.0,LOSS,London,Good,Good,,,Mss After Mss,"fvg entry, mss entry",Good,
125,GBPUSD,LONG,2026-02-03 11:20,-2,2026-02-03 09:20,10,1.36977,1.36807,17.0,-1.0,LOSS,London,Good,Good,,,Mss After Mss,"fvg entry, mss entry",Good,
126,GBPUSD,LONG,2026-02-05 20:37,-2,2026-02-05 18:37,62,1.3558,1.35511,6.9,-1.0,LOSS,New York,Good,Good,,,Mss After Mss,"fvg entry, mss entry",Good,
127,GBPUSD,LONG,2026-02-06 12:59,-2,2026-02-06 10:59,24,1.35877,1.35761,11.6,2.0,WIN,London,Good,Good,,Trending,Mss After Mss,"fvg entry, mss entry",Great,
128,GBPUSD,SHORT,2026-02-10 12:55,0,2026-02-10 12:55,20,1.36739,1.36839,10.0,-1.0,LOSS,"London, Pre-NY",Good,Good,,,Mss After Mss,"fvg entry, mss entry",Good,
129,GBPUSD,SHORT,2026-02-10 17:00,0,2026-02-10 17:00,24,1.3663,1.36725,9.5,2.0,WIN,New York,Great,Good,,,Mss After Mss,"fvg entry, mss entry",Great,
